age,gender,race,date,city,state,manner_of_death,mental_illness
40,Male,Black,2000-04-12,Seattle,WA,Shot,false
17,Male,Black,2000-04-26,Los Angeles,CA,Shot,false
30,Male,Black,2000-04-28,Long Beach,CA,Shot,false
33,Male,Black,2000-04-30,Long Beach,CA,Shot,false
19,Male,Black,2000-05-07,Ft. Pierce,FL,Shot,false
20,Male,Black,2000-05-12,Chicago,IL,Shot,false
42,Male,Black,2000-05-20,Temple Hills,MD,Shot,true
48,Male,Black,2000-05-30,Fort Myers,FL,Shot,true
68,Male,Black,2000-06-08,Baton Rouge,LA,Shot,false
36,Male,Black,2000-06-12,Berkeley,MO,Shot,false
47,Male,Black,2000-06-14,Los Angeles,CA,Shot,false
17,Male,Black,2000-06-18,Chicago,IL,Shot,false
37,Male,Black,2000-06-25,Louisville,KY,Shot,true
28,Male,Black,2000-07-04,Oakland,CA,Shot,false
35,Male,Black,2000-07-07,Lynwood,CA,Shot,false
19,Male,Black,2000-07-10,Las Vegas,NV,Shot,false
54,Male,Black,2000-07-20,Carson,CA,Shot,false
22,Male,Black,2000-07-25,"""South Shore, Chicago""",IL,Shot,false
26,Male,Black,2000-07-25,Richmond,CA,Shot,true
23,Male,Black,2000-08-13,Gardena,CA,Shot,false
26,Male,Black,2000-08-26,Aurora,CO,Shot,false
39,Male,Black,2000-08-29,Detroit,MI,Shot,false
54,Male,Black,2000-08-30,North Las Vegas,NV,Shot,false
31,Male,Black,2000-09-05,Montgomery,AL,Shot,false
36,Male,Black,2000-09-06,Los Angeles,CA,Shot,false
36,Male,Black,2000-09-06,North Las Vegas,NV,Shot,false
38,Female,Black,2000-09-08,Goodman,MS,Shot,false
37,Male,Black,2000-09-18,"""Grand Boulevard, Chicago""",IL,Shot,false
27,Male,Black,2000-09-20,Inglewood,CA,Shot,false
61,Male,Black,2000-10-04,Lebanon,TN,Shot,false
35,Male,Black,2000-10-21,North Charleston,SC,Shot,false
25,Male,Black,2000-10-24,Los Angeles,CA,Shot,false
39,Male,Black,2000-10-28,Beverly Hills,CA,Shot,false
29,Male,Black,2000-11-01,Minneapolis,MN,Shot,true
17,Male,Black,2000-11-02,San Diego,CA,Shot,true
41,Male,Black,2000-11-06,New Orleans,LA,Shot,false
28,Male,Black,2000-11-12,Birmingham,AL,Shot,false
30,Male,Black,2000-11-16,Edina,MN,Shot,false
23,Male,Black,2000-11-23,Tallulah,LA,Shot,false
15,Male,Black,2000-11-27,Garland,TX,Shot,false
45,Male,Black,2000-12-07,East Windsor,NJ,Shot,false
16,Male,Black,2000-12-23,Tampa,FL,Shot,false
,Male,Black,2001-01-04,D'Iberville,MS,Shot,false
21,Male,Black,2001-01-04,Rochester,NY,Shot,false
29,Male,Black,2001-01-11,Oakland,CA,Shot,false
29,Female,Black,2001-01-16,Brooklyn,NY,Shot,false
37,Female,Black,2001-02-02,St. Louis,MO,Shot,false
33,Male,Black,2001-02-09,Sacramento,CA,Shot,false
38,Male,Black,2001-02-11,Los Angeles,CA,Shot,false
22,Male,Black,2001-02-15,San Diego,CA,Shot,false
88,Male,Black,2001-02-26,Miami,FL,Shot,false
21,Female,Black,2001-02-26,Pensacola,FL,Shot,false
16,Male,Black,2001-02-27,Las Vegas,NV,Shot,false
54,Male,Black,2001-02-28,Baton Rouge,LA,Shot,true
23,Male,Black,2001-03-10,Moreno Valley,CA,Shot,false
59,Male,Black,2001-03-31,Gardena,CA,Shot,false
27,Male,Black,2001-04-02,Minneapolis,MN,Shot,false
19,Male,Black,2001-04-07,Cincinnati,OH,Shot,false
32,Male,Black,2001-04-14,Stuart,FL,Shot,false
21,Male,Black,2001-04-16,Bossier CIty,LA,Shot,false
18,Male,Black,2001-04-30,Miami,FL,Shot,true
22,Male,Black,2001-05-18,High Point,NC,Shot,false
31,Male,Black,2001-05-28,Houston,TX,Shot,false
42,Male,Black,2001-05-28,Hayward,CA,Shot,true
18,Male,Black,2001-06-03,New Orleans,LA,Shot,false
22,Male,Black,2001-06-08,Richmond,VA,Shot,false
45,Male,Black,2001-06-09,San Diego,CA,Shot,true
36,Male,Black,2001-06-12,Berkeley,MO,Shot,false
23,Male,Black,2001-06-13,San Francisco,CA,Shot,true
33,Male,Black,2001-07-06,Tanner,AL,Shot,false
27,Male,Black,2001-07-13,Oxnard,CA,Shot,false
32,Female,Black,2001-07-27,Hampton,VA,Shot,false
15,Male,Black,2001-07-29,Minneapolis,MN,Shot,false
32,Male,Black,2001-08-01,Houston,TX,Shot,false
34,Male,Black,2001-08-06,Spokane,WA,Shot,false
38,Male,Black,2001-08-12,Las Vegas,NV,Shot,false
21,Male,Black,2001-08-13,Houston,TX,Shot,false
47,Male,Black,2001-08-22,Cleveland,OH,Shot,false
23,Male,Black,2001-08-24,Oxnard,CA,Shot,true
27,Male,Black,2001-09-13,Los Angeles,CA,Shot,false
22,Male,Black,2001-09-14,Lawndale,CA,Shot,false
21,Male,Black,2001-09-14,Chicago,IL,Shot,false
31,Male,Black,2001-09-21,Athens,GA,Shot,false
56,Male,Black,2001-10-13,Thousand Oaks,CA,Shot,true
56,Male,Black,2001-10-23,Lafayette,LA,Shot,true
22,Male,Black,2001-10-28,New Orleans,LA,Shot,false
38,Male,Black,2001-11-10,Compton,CA,Shot,false
21,Male,Black,2001-11-19,Maywood,IL,Shot,false
46,Male,Black,2001-12-03,Saint Paul,MN,Shot,false
21,Male,Black,2001-12-12,Birmingham,AL,Shot,false
28,Male,Black,2001-12-13,New Orleans,LA,Shot,false
29,Male,Black,2001-12-15,Houma,LA,Shot,false
25,Male,Black,2001-12-24,Westminster,CA,Shot,false
25,Male,Black,2002-01-15,Cleveland,OH,Shot,false
23,Male,Black,2002-01-16,NYC,NY,Shot,false
57,Female,Black,2002-01-19,Long Beach,CA,Shot,true
20,Male,Black,2002-01-21,Miami,FL,Shot,false
27,Male,Black,2002-01-26,Cleveland,OH,Shot,false
25,Male,Black,2002-01-28,Porterville,CA,Shot,false
37,Male,Black,2002-02-02,San Francisco,CA,Shot,false
31,Male,Black,2002-02-18,Seattle,WA,Shot,false
26,Male,Black,2002-02-22,Portland,OR,Shot,false
26,Male,Black,2002-03-08,Waterbury,CT,Shot,true
42,Male,Black,2002-03-09,Fresno,CA,Shot,false
,Male,Black,2002-03-10,Minneapolis,MN,Shot,false
22,Male,Black,2002-03-16,Brooksville,FL,Shot,false
35,Male,Black,2002-03-16,San Francisco,CA,Shot,true
41,Male,Black,2002-03-23,Washington,DC,Shot,false
20,Male,Black,2002-03-27,Lake Station,IN,Shot,false
30,Male,Black,2002-04-03,Miami Gardens,FL,Shot,false
19,Male,Black,2002-04-12,Los Angeles,CA,Shot,false
26,Male,Black,2002-04-15,Williamston,NC,Shot,false
22,Male,Black,2002-05-06,Wingate,NC,Shot,false
39,Male,Black,2002-05-18,Huntsville,AL,Shot,true
35,Male,Black,2002-05-19,San Diego,CA,Shot,true
20,Male,Black,2002-05-29,Milwaukee,WI,Shot,false
22,Male,Black,2002-05-29,San Diego,CA,Shot,true
18,Male,Black,2002-06-05,Oakland,CA,Shot,false
39,Male,Black,2002-06-06,Cleveland,OH,Shot,true
19,Male,Black,2002-06-09,Houston,TX,Shot,false
14,Male,Black,2002-06-10,Rochester,NY,Shot,false
23,Female,Black,2002-06-11,Austin,TX,Shot,false
33,Male,Black,2002-06-11,Los Angeles,CA,Shot,false
57,Male,Black,2002-06-14,San Francisco,CA,Shot,true
26,Male,Black,2002-06-16,Oak Harbor,WA,Shot,true
53,Male,Black,2002-06-30,Decatur,AL,Shot,false
27,Male,Black,2002-07-02,Dallas,TX,Shot,false
38,Male,Black,2002-07-05,Utica,NY,Shot,false
36,Male,Black,2002-07-06,Los Angeles,CA,Shot,true
53,Male,Black,2002-07-09,Welsh,LA,Shot,false
18,Male,Black,2002-07-14,Buckhead,GA,Shot,false
19,Male,Black,2002-07-26,NYC,NY,Shot,true
41,Male,Black,2002-07-30,Memphis,TN,Shot,false
60,Female,Black,2002-08-01,Minneapolis,MN,Shot,false
29,Male,Black,2002-08-04,North Las Vegas,NV,Shot,true
23,Male,Black,2002-08-08,Cleveland,OH,Shot,true
30,Male,Black,2002-08-15,Edina,MN,Shot,false
25,Male,Black,2002-08-15,Fresno,CA,Shot,false
41,Male,Black,2002-08-20,Fremont,CA,Shot,false
39,Male,Black,2002-08-27,Brooklyn,NY,Shot,false
16,Male,Black,2002-08-27,Cleveland,OH,Shot,false
22,Male,Black,2002-09-01,Brooklyn,NY,Shot,true
39,Male,Black,2002-09-01,Tucson,AZ,Shot,false
31,Male,Black,2002-09-19,Milwaukee,WI,Shot,false
28,Male,Black,2002-10-08,San Francisco,CA,Shot,true
31,Male,Black,2002-10-30,Louisville,KY,Shot,false
24,Male,Black,2002-11-04,Houston,TX,Shot,false
23,Male,Black,2002-11-10,Carson,CA,Shot,false
37,Male,Black,2002-11-17,Los Angeles,CA,Shot,false
40,Male,Black,2002-11-20,Littlerock,CA,Shot,false
50,Male,Black,2002-12-05,Louisville,KY,Shot,false
17,Male,Black,2002-12-13,Seattle,WA,Shot,false
42,Male,Black,2002-12-15,Inglewood,CA,Shot,false
