Stagione	Campionato	Campionato_sigla	Giornata	Data	CoT	Squadra	Numero	Avversario	Avversario_sigla	Risultato_finale	PoNo	Minuto_1	Risultato_parziale_1	Modo_1	Assist_1	Minuto_2	Risultato_parziale_2	Modo_2	Assist_2	Minuto_3	Risultato_parziale_3	Modo_3	Assist_3	Minuto_4	Risultato_parziale_4	Modo_4	Assist_4	N_goals
Stagione 14/15	UEFA Champions League	Champions League	Fase a gironi	01/10/2014	T	Borussia Dortmund		RSC Anderlecht	RSC Anderlecht	00:03	P	4'	00:01	Destro	Shinji Kagawa													1
Stagione 14/15	Bundesliga	Bundesliga	8	18/10/2014	T	Borussia Dortmund	(13.)	1.FC Colonia	Colonia  (14.)	02:01	P	48'	01:01	Destro	Marco Reus													1
Stagione 14/15	Coppa di Germania	Coppa DFB	Turno 2	28/10/2014	T	Borussia Dortmund		FC St. Pauli	FC St. Pauli	00:03	P	33'	00:01	Destro	Shinji Kagawa													1
Stagione 14/15	UEFA Champions League	Champions League	Fase a gironi	04/11/2014	C	Borussia Dortmund		Galatasaray	Galatasaray	04:01	P	74'	03:01	Destro	Pierre-Emerick Aubameyang													1
Stagione 14/15	UEFA Champions League	Champions League	Fase a gironi	09/12/2014	C	Borussia Dortmund		RSC Anderlecht	RSC Anderlecht	01:01	P	58'	01:00	Destro	Nuri Sahin													1
Stagione 14/15	Bundesliga	Bundesliga	16	17/12/2014	C	Borussia Dortmund	(16.)	VfL Wolfsburg	Wolfsburg  (2.)	02:02	P	76'	02:01	Destro	Oliver Kirch													1
Stagione 14/15	Coppa di Germania	Coppa DFB	Ottavi	03/03/2015	T	Borussia Dortmund		SG Dynamo Dresda	Dynamo Dresda	00:02	P	50'	00:01	Destro		90'	00:02	Destro	Jakub Blaszczykowski									2
Stagione 15/16	LaLiga	LaLiga	11	08/11/2015	C	Siviglia FC	(11.)	Real Madrid CF	Real Madrid  (1.)	03:02	P	36'	01:01	Destro	Yevgen Konoplyanka													1
Stagione 15/16	Coppa del Re	Coppa del Re	Turno 4	02/12/2015	T	Siviglia FC		UD Logrones	UD Logrones	00:03	P	57'	00:03	Sinistro														1
Stagione 15/16	Coppa del Re	Coppa del Re	Turno 4	15/12/2015	C	Siviglia FC		UD Logrones	UD Logrones	02:00	P	15'	01:00	Destro	Vicente Iborra													1
Stagione 15/16	LaLiga	LaLiga	17	30/12/2015	C	Siviglia FC	(8.)	RCD Espanyol Barcellona	Espanyol  (12.)	02:00	P	17'	01:00	Destro	Vitolo													1
Stagione 15/16	Serie A	Serie A	20	16/01/2016	C	Torino FC	(13.)	Frosinone Calcio	Frosinone  (18.)	04:02	P	8'	01:00	Rigore														1
Stagione 15/16	Serie A	Serie A	25	14/02/2016	T	Torino FC	(12.)	US CittÃ  di Palermo	Palermo  (15.)	01:03	P	19'	01:01	Rigore		69'	01:03	Sinistro	Marco Benassi									2
Stagione 15/16	Serie A	Serie A	29	13/03/2016	T	Torino FC	(12.)	Genoa CFC	Genoa  (14.)	03:02	P	4'	00:01		Andrea Belotti	15'	00:02		Afriyie Acquah									2
Stagione 16/17	Serie A	Serie A	1	21/08/2016	T	SS Lazio	(5.)	Atalanta	Atalanta  (4.)	03:04	P	15'	00:01	Destro	Sergej Milinkovic-Savic													1
Stagione 16/17	Serie A	Serie A	4	17/09/2016	C	SS Lazio	(10.)	Delfino Pescara 1936	Pescara  (8.)	03:00	P	76'	03:00	Destro	Keita Balde													1
Stagione 16/17	Serie A	Serie A	7	01/10/2016	T	SS Lazio	(6.)	Udinese Calcio	Udinese  (14.)	00:03	P	28'	00:01	Colpo di testa	Sergej Milinkovic-Savic	61'	00:03	Destro	Senad Lulic									2
Stagione 16/17	Serie A	Serie A	8	16/10/2016	C	SS Lazio	(5.)	Bologna FC	Bologna  (11.)	01:01	P	90'+7	01:01	Rigore														1
Stagione 16/17	Serie A	Serie A	9	23/10/2016	T	SS Lazio	(7.)	Torino FC	Torino  (5.)	02:02	P	71'	01:01	Destro	Felipe Anderson													1
Stagione 16/17	Serie A	Serie A	10	26/10/2016	C	SS Lazio	(6.)	Cagliari Calcio	Cagliari  (11.)	04:01	P	23'	02:00	Rigore		28'	03:00	Destro										2
Stagione 16/17	Serie A	Serie A	11	30/10/2016	C	SS Lazio	(5.)	US Sassuolo	Sassuolo  (14.)	02:01	P	55'	02:00	Destro	Stefan Radu													1
Stagione 16/17	Serie A	Serie A	19	08/01/2017	C	SS Lazio	(5.)	FC Crotone	Crotone  (20.)	01:00	P	90'	01:00	Destro														1
Stagione 16/17	Serie A	Serie A	20	15/01/2017	C	SS Lazio	(5.)	Atalanta	Atalanta  (6.)	02:01	P	68'	02:01	Rigore														1
Stagione 16/17	Coppa Italia	Coppa Italia	Ottavi	18/01/2017	C	SS Lazio		Genoa CFC	Genoa	04:02	P	75'	04:02	Destro	Jordan Lukaku													1
Stagione 16/17	Serie A	Serie A	23	05/02/2017	T	SS Lazio	(5.)	Delfino Pescara 1936	Pescara  (20.)	02:06	P	69'	02:05	Sinistro	Stefan de Vrij													1
